model,split,accuracy,precision,recall,f1,roc_auc
FeatureSelection_MI+RandomForest,val,0.625,0.5714285714285714,1.0,0.7272727272727273,0.8828125
FeatureSelection_MI+RandomForest,test,0.7371794871794872,0.7140151515151515,0.9666666666666667,0.8213507625272332,0.8690335305719921
PCA95+RandomForest,val,0.625,0.5714285714285714,1.0,0.7272727272727273,0.9453125
PCA95+RandomForest,test,0.7580128205128205,0.7357001972386588,0.9564102564102565,0.8316610925306578,0.8534626342318649
