component_index,cumulative_explained_variance
1,0.3072052195042362
2,0.49839667181972697
3,0.6511261479126649
4,0.7752682873050589
5,0.8308622611396596
6,0.8753565042516445
7,0.9107613482712105
8,0.9328865532109952
9,0.9500248660038874
